name,gender,known_for_department,original_name,popularity
Giulio Berruti,2,Acting,Giulio Berruti,7.1184
Milla Jovovich,1,Acting,Milla Jovovich,6.3246
David Corenswet,2,Acting,David Corenswet,5.8221
Demi Moore,1,Acting,Demi Moore,6.274
Dwayne Johnson,2,Acting,Dwayne Johnson,7.1385
Giulio Berruti,2,Acting,Giulio Berruti,7.1184
Kim Do-hee,1,Acting,Kim Do-hee,7.0952
Maisie Williams,1,Acting,Maisie Williams,7.0657
Zhao Lusi,1,Acting,赵露思,7.0533
Drew Barrymore,1,Acting,Drew Barrymore,7.0177
Halle Berry,1,Acting,Halle Berry,6.9723
Stephanie Cayo,1,Acting,Stephanie Cayo,6.9656
Alejandro Trejo,2,Acting,Alejandro Trejo,6.9428
Fabrizio Guido,2,Acting,Fabrizio Guido,6.9158
Daniel Radcliffe,2,Acting,Daniel Radcliffe,6.9127
Verónica Castro,1,Acting,Verónica Castro,6.8839
Zeynep Atılgan,1,Acting,Zeynep Atılgan,6.8812
Kaley Cuoco,1,Acting,Kaley Cuoco,6.8744
Robert De Niro,2,Acting,Robert De Niro,6.8639
Samuel L. Jackson,2,Acting,Samuel L. Jackson,6.8469
Stuart Campbell,2,Acting,Stuart Campbell,6.8316
Sophie Rundle,1,Acting,Sophie Rundle,6.8061
Aline Mineiro,1,Acting,Aline Mineiro,6.7985
Jaime Pressly,1,Acting,Jaime Pressly,6.7599
Yu Aoi,1,Acting,蒼井優,6.1615
Sadie Sink,1,Acting,Sadie Sink,6.6839
Tom Holland,2,Acting,Tom Holland,6.5164
Will Smith,2,Acting,Will Smith,5.671
Michael Douglas,2,Acting,Michael Douglas,6.2893
Jurnee Smollett,1,Acting,Jurnee Smollett,5.9544
Ali Larter,1,Acting,Ali Larter,6.3307
Cillian Murphy,2,Acting,Cillian Murphy,6.2478
Darshana Rajendran,1,Acting,Darshana Rajendran,6.3976
Jet Li,2,Acting,李连杰,6.6963
Mirtha Legrand,1,Acting,Mirtha Legrand,5.643
Kaley Cuoco,1,Acting,Kaley Cuoco,6.8744
Martha Roth,1,Acting,Martha Roth,3.5248
Suppakarn Jirachotikul,2,Acting,ศุภการ จิรโชติกุล,6.0875
Chris Pratt,2,Acting,Chris Pratt,6.2026
Daniel Tinayre,2,Directing,Daniel Tinayre,4.2787
Claudia Doumit,1,Acting,Claudia Doumit,6.0316
Robert Downey Jr.,2,Acting,Robert Downey Jr.,6.5689
Stuart Campbell,2,Acting,Stuart Campbell,6.8316
Jamie Lee Curtis,1,Acting,Jamie Lee Curtis,7.2673
Channing Tatum,2,Acting,Channing Tatum,6.1488
Dwayne Johnson,2,Acting,Dwayne Johnson,7.1385
Eva De Dominici,1,Acting,Eva De Dominici,5.9575
Gabriel Guevara,2,Acting,Gabriel Guevara,5.5267
Adolfo Aristarain,2,Directing,Adolfo Aristarain,9.3881
Eiza González,1,Acting,Eiza González,6.7029
Chris Evans,2,Acting,Chris Evans,6.297
Robert De Niro,2,Acting,Robert De Niro,6.8639
Maruthi Dasari,2,Directing,Maruthi Dasari,5.8985
Tyriq Withers,2,Acting,Tyriq Withers,5.7551
Madelyn Cline,1,Acting,Madelyn Cline,6.1753
Cemre Baysel,1,Acting,Cemre Baysel,6.337
Diane Lane,1,Acting,Diane Lane,5.5264
Adan Canto,2,Acting,Adan Canto,5.6991
Fabrizio Guido,2,Acting,Fabrizio Guido,6.9158
Ethan Hawke,2,Acting,Ethan Hawke,5.8673
Joey King,1,Acting,Joey King,6.0608
Harold Perrineau,2,Acting,Harold Perrineau,6.1294
Jenn Rosa,1,Acting,Jenn Rosa,6.4151
David Harbour,2,Acting,David Harbour,5.7451
